cod;nome;período;valor
16;AP;2008;65
29;BA;2008;3828
23;CE;2008;1332
53;DF;2008;579
32;ES;2008;1495
52;GO;2008;1201
21;MA;2008;698
31;MG;2008;2755
50;MS;2008;392
51;MT;2008;572
15;PA;2008;1929
25;PB;2008;750
26;PE;2008;3449
22;PI;2008;159
41;PR;2008;2540
33;RJ;2008;4336
24;RN;2008;536
11;RO;2008;286
14;RR;2008;29
43;RS;2008;1801
42;SC;2008;505
28;SE;2008;368
35;SP;2008;3891
16;AP;2009;69
41;PR;2009;2673
12;AC;2009;61
27;AL;2009;1560
13;AM;2009;572
29;BA;2009;4361
23;CE;2009;1511
53;DF;2009;666
32;ES;2009;1548
52;GO;2009;1260
21;MA;2009;785
31;MG;2009;2603
50;MS;2009;429
51;MT;2009;573
15;PA;2009;2038
25;PB;2009;1019
26;PE;2009;3117
22;PI;2009;184
33;RJ;2009;4009
24;RN;2009;620
11;RO;2009;353
14;RR;2009;27
43;RS;2009;1645
42;SC;2009;511
28;SE;2009;451
35;SP;2009;3851
17;TO;2009;128
41;PR;2010;2630
33;RJ;2010;4111
24;RN;2010;611
11;RO;2010;351
14;RR;2010;29
43;RS;2010;1496
42;SC;2010;483
28;SE;2010;452
35;SP;2010;3469
17;TO;2010;131
52;GO;2010;1317
21;MA;2010;827
31;MG;2010;2456
50;MS;2010;344
51;MT;2010;566
25;PB;2010;1208
26;PE;2010;2649
22;PI;2010;207
53;DF;2010;576
23;CE;2010;2057
29;BA;2010;4439
16;AP;2010;103
13;AM;2010;635
27;AL;2010;1721
12;AC;2010;63
15;PA;2010;2502
32;ES;2010;1359
21;MA;2011;944
12;AC;2011;50
27;AL;2011;1913
13;AM;2011;879
16;AP;2011;80
29;BA;2011;4170
23;CE;2011;2063
53;DF;2011;657
32;ES;2011;1352
52;GO;2011;1579
31;MG;2011;3000
50;MS;2011;368
51;MT;2011;602
15;PA;2011;2077
25;PB;2011;1379
26;PE;2011;2541
22;PI;2011;251
41;PR;2011;2365
33;RJ;2011;3411
24;RN;2011;788
11;RO;2011;286
14;RR;2011;25
43;RS;2011;1531
42;SC;2011;483
28;SE;2011;523
35;SP;2011;3262
17;TO;2011;158
21;MA;2012;1152
12;AC;2012;85
27;AL;2012;1737
13;AM;2012;855
16;AP;2012;117
29;BA;2012;4594
23;CE;2012;3135
53;DF;2012;725
32;ES;2012;1335
52;GO;2012;1955
31;MG;2012;3228
50;MS;2012;337
15;PA;2012;2138
25;PB;2012;1224
26;PE;2012;2475
22;PI;2012;311
41;PR;2012;2433
33;RJ;2012;3472
24;RN;2012;856
11;RO;2012;338
14;RR;2012;32
43;RS;2012;1737
42;SC;2012;491
28;SE;2012;648
35;SP;2012;3848
17;TO;2012;178
51;MT;2012;641
50;MS;2013;318
35;SP;2013;3440
31;MG;2013;3468
52;GO;2013;2138
12;AC;2013;95
